Locals,Area,Bath,Floor,Zone,Price
3,90,2,3,Mostacciano,310000
5+,150,3,3,Casaletto,540000
3,90,2,0,Casal Selce,169000
3,127,1,2,Castel di Leva,180000
5,155,3,1,Collina delle Muse,235000
3,93,1,1,Valli,265000
2,68,1,1,Valli,225000
5,159,2,1,Morena,310000
4,137,2,6,Monte Sacro,651000
4,170,3,6,Monte Sacro,942000
3,93,2,3,Monte Sacro,497000
2,55,1,2,Monte Sacro,255000
5,228,3+,7,Monte Sacro,1308000
4,147,3,6,Monte Sacro,693000
2,55,1,0,Monte Sacro,242000
2,78,1,0,Monte Sacro,363000
4,153,3,A,Monte Sacro,741000
3,100,2,1,Monte Sacro,492000
2,51,1,1,Monte Sacro,243000
5+,130,2,1,San Godenzo,390000
2,54,1,1,Monte Sacro,240000
3,100,2,1,Monte Sacro,447000
2,50,1,5,Monte Sacro,269000
2,78,1,0,Monte Sacro,363000
4,153,3,A,Monte Sacro,741000
3,100,2,1,Monte Sacro,492000
2,51,1,1,Monte Sacro,243000
5+,130,2,1,San Godenzo,390000
2,54,1,1,Monte Sacro,240000
3,100,2,1,Monte Sacro,447000
2,50,1,5,Monte Sacro,269000
5,169,3,7,Monte Sacro,811000
3,102,2,7,Monte Sacro,596000
3,100,2,2,Monte Sacro,519000
2,55,1,5,Monte Sacro,272000
3,100,2,2,Monte Sacro,511000
3,100,2,1,Monte Sacro,510000
2,50,1,2,San Godenzo,189000
2,56,1,4,Monte Sacro,275000
3,100,2,1,Monte Sacro,474000
3,97,2,5,Monte Sacro,504000
3,93,2,4,Monte Sacro,523000
2,62,1,1,Monte Sacro,362000
3,104,2,6,Monte Sacro,533000
3,108,2,1,Monti,790000
3,100,2,1,Monte Sacro,492000
5+,185,2,6,Esquilino,865000
1,49,1,1,Monte Sacro,262000
4,125,2,2,Furio Camillo,499000
5,134,2,2,Valli,355000
3,84,1,0,Monte Sacro,259000
5,152,2,4,Parioli,992500
3,115,2,2,Cortina d'Ampezzo,614000
5,155,2,2,Parioli,768000
3,80,2,A,Tor de' Schiavi,190000
3,67,1,3,Monte Sacro,391000
3,90,2,4,Monte Sacro,511000
2,51,1,1,Monte Sacro,293000
5,152,2,2,Farnesina,550000
2,51,1,3,Monte Sacro,285000
2,95,1,8,Sallustiano,850000
3,73,1,0,Monte Sacro,372000
2,65,1,3,Centocelle,185000
3,90,2,3,Monte Sacro,492000
2,51,1,5,Monte Sacro,307000
3,67,1,1,Monte Sacro,359000
3,67,1,2,Monte Sacro,331000
3,90,2,4,Monte Sacro,524000
2,58,1,0,Monte Sacro,313000
2,51,1,2,Monte Sacro,300000
2,54,1,0,Monte Sacro,239000
2,51,1,1,Monte Sacro,278000
5,176,3,7,Monte Sacro,1129000
2,5,1,2,Torre Spaccata,125000
2,59,1,2,Montagnola,269000
3,124,2,2,Villa Ada,850000
2,47,1,1,Montagnola,227000
2,51,1,2,Montagnola,271000
4,93,2,0,Montagnola,491000
4,93,2,3,Montagnola,495000
3,80,2,4,Montagnola,384000
2,52,1,4,Montagnola,275000
4,94,2,2,Monte Sacro,429000
2,51,1,3,Montagnola,276000
2,47,1,2,Montagnola,234000
3,87,2,1,Montagnola,399000
4,110,2,A,Montagnola,682000
4,94,2,5,Monte Sacro,518000
4,126,2,A,Montagnola,719000
3,87,2,3,Montagnola,443000
2,47,1,2,Montagnola,242000
4,116,3,A,Montagnola,662000
4,120,2,A,Anagnina,315000
2,59,1,4,Montagnola,325000
3,87,2,4,Montagnola,411000
2,52,1,1,Monte Sacro,259000
5,135,3,A,Montagnola,809000
3,79,1,2,Montagnola,370000
2,41,1,1,Montagnola,235000
4,135,2,2,Torrino,465000
1,25,1,S,Bologna,140000
3,70,1,2,Casaletto,230000
3,70,1,2,Casaletto,230000
4,126,2,3,Bravetta,390000
2,42,1,2,Monte Sacro,192000
3,72,1,1,Montagnola,326000
4,94,2,4,Monte Sacro,469000
3,105,1,R,Cinecittà,190000
2,69,1,1,Montagnola,309000
3,115,2,1,Monteverde Vecchio,429000
4,105,2,4,Montagnola,516000
4,130,2,3,Portuense,349000
4,96,2,6,Garbatella,319000
2,53,1,1,Monte Sacro,231000
3,106,2,3,Ponte di Nona,209000
2,59,1,0,Montagnola,272000
5,160,2,R,Delle Vittorie,880000
3,70,1,2,Casaletto,230000
2,65,1,1,Magliana,198000
3,109,2,2,La Giustiniana,355000
2,53,1,1,Monte Sacro,231000
3,106,2,3,Ponte di Nona,209000
2,59,1,0,Montagnola,272000
5,160,2,R,Delle Vittorie,880000
3,70,1,2,Casaletto,230000
2,65,1,1,Magliana,198000
3,109,2,2,La Giustiniana,355000
3,109,2,3,La Giustiniana,198000
2,52,1,2,Bravetta,149000
4,115,3,8,Axa,289000
4,188,3,1,Saxa Rubra,470000
2,60,1,S,Città Giardino,175000
4,130,2,5,Serpentara,390000
3,103,1,4,Ostia Levante,205000
3,75,1,2,Farnesina,312000
4,120,2,4,Serpentara,289000
4,95,1,2,Centocelle,190000
3,97,2,4,Bravetta,239000
5+,135,2,1,Eur,620000
3,65,2,0,La Giustiniana,149000
3,104,1,A,Farnesina,479500
2,66,1,7,Tintoretto,279000
3,79,1,1,Monte Sacro,230000
4,155,3,A,Montagnola,924000
4,160,2,5,Farnesina,728000
3,75,1,R,Castelverde,109000
5+,266,3,A,Torrino,1195000
4,89,1,0,La Rustica,71250
4,120,2,3,Serpentara,289000
4,130,2,4,Parioli,880000
3,80,1,3,Spinaceto,179000
4,180,2,A,Vittorio Veneto,1800000
3,100,2,1,Montagnola,478000
3,90,2,4,Mezzocammino,295000
4,85,1,1,Tufello,195000
2,60,1,2,Mezzocammino,195000
4,110,2,3,Euclide,550000
2,70,1,A,Marconi,249000
